page_id,access_count,classification
1090,141,hot
1091,167,hot
1092,153,hot
1093,168,hot
1094,179,hot
1095,164,hot
1096,168,hot
1097,146,hot
1098,165,hot
1099,161,hot
1100,174,hot
1101,172,hot
1102,163,hot
1103,162,hot
1104,175,hot
1105,146,hot
1106,149,hot
1107,182,hot
1108,177,hot
1109,157,hot
1110,166,hot
1111,144,hot
1112,153,hot
1113,141,hot
1114,146,hot
1115,160,hot
1116,163,hot
1117,161,hot
1118,162,hot
1119,159,hot
1120,161,hot
1121,154,hot
1122,132,hot
1123,150,hot
1124,148,hot
1125,152,hot
1126,138,hot
1127,160,hot
1128,171,hot
1129,154,hot
1130,160,hot
1131,128,hot
1132,175,hot
1133,155,hot
1134,139,hot
1135,160,hot
1136,146,hot
1137,170,hot
1138,155,hot
1139,135,hot
1140,171,hot
1141,168,hot
1142,173,hot
1143,131,hot
1144,142,hot
1145,144,hot
1146,153,hot
1147,133,hot
1148,147,hot
1149,165,hot
1150,151,hot
1151,139,hot
1152,163,hot
1153,157,hot
1154,148,hot
1155,179,hot
1156,165,hot
1157,143,hot
1158,161,hot
1159,149,hot
1160,159,hot
1161,166,hot
1162,165,hot
1163,144,hot
1164,186,hot
1165,169,hot
1166,150,hot
1167,183,hot
1168,157,hot
1169,155,hot
1170,160,hot
1171,176,hot
1172,135,hot
1173,160,hot
1174,172,hot
1175,139,hot
1176,155,hot
1177,148,hot
1178,150,hot
1179,182,hot
1180,160,hot
1181,156,hot
1182,146,hot
1183,175,hot
1184,162,hot
1185,180,hot
1186,151,hot
1187,146,hot
1188,172,hot
1189,175,hot
1190,155,hot
1191,162,hot
1192,164,hot
1193,154,hot
1194,180,hot
1195,165,hot
1196,152,hot
1197,147,hot
1198,174,hot
1199,147,hot
1200,161,hot
1201,166,hot
1202,153,hot
1203,163,hot
1204,184,hot
1205,142,hot
1206,143,hot
1207,166,hot
1208,130,hot
1209,172,hot
1210,140,hot
1211,176,hot
1212,148,hot
1213,154,hot
1214,157,hot
1215,148,hot
1216,156,hot
1217,150,hot
1218,139,hot
1219,158,hot
1220,141,hot
1221,154,hot
1222,177,hot
1223,140,hot
1224,138,hot
1225,171,hot
1226,158,hot
1227,142,hot
1228,157,hot
1229,142,hot
1230,162,hot
1231,138,hot
1232,177,hot
1233,187,hot
1234,162,hot
1235,156,hot
1236,174,hot
1237,187,hot
1238,152,hot
1239,163,hot
1240,143,hot
1241,159,hot
1242,152,hot
1243,157,hot
1244,164,hot
1245,167,hot
1246,145,hot
1247,160,hot
1248,142,hot
1249,152,hot
1250,156,hot
1251,165,hot
1252,154,hot
1253,176,hot
1254,144,hot
1255,173,hot
1256,158,hot
1257,155,hot
1258,171,hot
1259,133,hot
1260,151,hot
1261,154,hot
1262,157,hot
1263,141,hot
1264,156,hot
1265,146,hot
1266,166,hot
1267,166,hot
1268,158,hot
1269,176,hot
1270,174,hot
1271,146,hot
1272,166,hot
1273,157,hot
1274,163,hot
1275,145,hot
1276,158,hot
1277,139,hot
1278,168,hot
