page_id,access_count,classification
1674,174,hot
1675,128,hot
1676,172,hot
1677,165,hot
1678,160,hot
1679,154,hot
1680,166,hot
1681,171,hot
1682,143,hot
1683,145,hot
1684,157,hot
1685,154,hot
1686,141,hot
1687,174,hot
1688,159,hot
1689,142,hot
1690,150,hot
1691,159,hot
1692,165,hot
1693,139,hot
1694,156,hot
1695,143,hot
1696,144,hot
1697,157,hot
1698,179,hot
1699,159,hot
1700,160,hot
1701,147,hot
1702,144,hot
1703,141,hot
1704,157,hot
1705,149,hot
1706,154,hot
1707,175,hot
1708,154,hot
1709,151,hot
1710,149,hot
1711,170,hot
1712,157,hot
1713,173,hot
1714,152,hot
1715,144,hot
1716,141,hot
1717,163,hot
1718,136,hot
1719,148,hot
1720,150,hot
1721,156,hot
1722,163,hot
1723,162,hot
1724,160,hot
1725,147,hot
1726,162,hot
1727,164,hot
1728,159,hot
1729,186,hot
1730,128,hot
1731,159,hot
1732,180,hot
1733,156,hot
1734,168,hot
1735,160,hot
1736,174,hot
1737,165,hot
1738,188,hot
1739,170,hot
1740,159,hot
1741,155,hot
1742,154,hot
1743,160,hot
1744,151,hot
1745,154,hot
1746,142,hot
1747,170,hot
1748,154,hot
1749,148,hot
1750,170,hot
1751,144,hot
1752,162,hot
1753,143,hot
1754,151,hot
1755,168,hot
1756,140,hot
1757,153,hot
1758,160,hot
1759,160,hot
1760,176,hot
1761,184,hot
1762,180,hot
1763,151,hot
1764,146,hot
1765,146,hot
1766,166,hot
1767,154,hot
1768,166,hot
1769,166,hot
1770,151,hot
1771,154,hot
1772,140,hot
1773,168,hot
1774,188,hot
1775,172,hot
1776,175,hot
1777,136,hot
1778,159,hot
1779,151,hot
1780,171,hot
1781,142,hot
1782,146,hot
1783,142,hot
1784,176,hot
1785,144,hot
1786,158,hot
1787,141,hot
1788,168,hot
1789,136,hot
1790,146,hot
1791,145,hot
1792,171,hot
1793,167,hot
1794,156,hot
1795,180,hot
1796,166,hot
1797,151,hot
1798,153,hot
1799,147,hot
1800,152,hot
1801,167,hot
1802,147,hot
1803,147,hot
1804,154,hot
1805,132,hot
1806,154,hot
1807,141,hot
1808,167,hot
1809,166,hot
1810,164,hot
1811,137,hot
1812,149,hot
1813,159,hot
1814,159,hot
1815,165,hot
1816,163,hot
1817,162,hot
1818,186,hot
1819,158,hot
1820,141,hot
1821,149,hot
1822,177,hot
1823,151,hot
1824,150,hot
1825,171,hot
1826,157,hot
1827,145,hot
1828,173,hot
1829,160,hot
1830,168,hot
1831,140,hot
1832,159,hot
1833,189,hot
1834,153,hot
1835,154,hot
1836,147,hot
1837,133,hot
1838,141,hot
1839,172,hot
1840,153,hot
1841,196,hot
1842,147,hot
1843,150,hot
1844,156,hot
1845,134,hot
1846,174,hot
1847,159,hot
1848,155,hot
1849,160,hot
1850,160,hot
1851,176,hot
1852,172,hot
1853,166,hot
1854,158,hot
1855,161,hot
1856,151,hot
1857,159,hot
1858,148,hot
1859,165,hot
1860,149,hot
1861,148,hot
1862,154,hot
1863,168,hot
1864,178,hot
1865,153,hot
1866,149,hot
1867,145,hot
1868,151,hot
